CODIGO;PECA;DN;SCH;MATERIAL;TIPO;CUSTO 
WXSS001;TUBO;"1""";10;304L;C/C;100,00
WXSS002;TUBO;"1""";40;304L;C/C;100,00
WXSS003;TUBO;"1""";40;304L;S/C;100,00
WXSS004;TUBO;"1""";10;316L;C/C;100,00
WXSS005;TUBO;"1""";40;316L;C/C;100,00
WXSS006;TUBO;"1""";40;316L;S/C;100,00
WXSS007;TUBO;"1-1/2""";10;304L;C/C;100,00
WXSS008;TUBO;"1-1/2""";40;304L;C/C;100,00
WXSS009;TUBO;"1-1/2""";40;304L;S/C;100,00
WXSS010;TUBO;"1-1/2""";10;316L;C/C;100,00
WXSS011;TUBO;"1-1/2""";40;316L;C/C;100,00
WXSS012;TUBO;"1-1/2""";40;316L;S/C;100,00
WXSS013;TUBO;"2""";10;304L;C/C;100,00
WXSS014;TUBO;"2""";40;304L;C/C;100,00
WXSS015;TUBO;"2""";40;304L;S/C;100,00
WXSS016;TUBO;"2""";10;316L;C/C;100,00
WXSS017;TUBO;"2""";40;316L;C/C;100,00
WXSS018;TUBO;"2""";40;316L;S/C;100,00
WXSS019;TUBO;"2-1/2""";10;304L;C/C;100,00
WXSS020;TUBO;"2-1/2""";40;304L;C/C;100,00
WXSS021;TUBO;"2-1/2""";40;304L;S/C;100,00
WXSS022;TUBO;"2-1/2""";10;316L;C/C;100,00
WXSS023;TUBO;"2-1/2""";40;316L;C/C;100,00
WXSS024;TUBO;"2-1/2""";40;316L;S/C;100,00
WXSS025;TUBO;"3""";10;304L;C/C;100,00
WXSS026;TUBO;"3""";40;304L;C/C;100,00
WXSS027;TUBO;"3""";40;304L;S/C;100,00
WXSS028;TUBO;"3""";10;316L;C/C;100,00
WXSS029;TUBO;"3""";40;316L;C/C;100,00
WXSS030;TUBO;"3""";40;316L;S/C;100,00
WXSS031;TUBO;"4""";10;304L;C/C;100,00
WXSS032;TUBO;"4""";40;304L;C/C;100,00
WXSS033;TUBO;"4""";40;304L;S/C;100,00
WXSS034;TUBO;"4""";10;316L;C/C;100,00
WXSS035;TUBO;"4""";40;316L;C/C;100,00
WXSS036;TUBO;"4""";40;316L;S/C;100,00
PLXX001;FLANGE;"1""";150#;AISI 304;SOBREPOSTO (SORF);150,00
PLXX002;FLANGE;"1""";150#;AISI 304;ROSCADO;150,00
PLXX003;FLANGE;"1""";150#;AISI 304;SOLTO;150,00
PLXX004;FLANGE;"1""";150#;AISI 316;SOBREPOSTO (SORF);150,00
PLXX005;FLANGE;"1""";150#;AISI 316;ROSCADO;150,00
PLXX006;FLANGE;"1""";150#;AISI 316;SOLTO;150,00
PLXX007;FLANGE;"1-1/2""";150#;AISI 304;CEGO;150,00
PLXX008;FLANGE;"1-1/2""";150#;AISI 304;SOBREPOSTO (SORF);150,00
PLXX009;FLANGE;"1-1/2""";150#;AISI 304;ROSCADO;150,00
PLXX010;FLANGE;"1-1/2""";150#;AISI 304;SOLTO;150,00
PLXX011;FLANGE;"1-1/2""";150#;AISI 316;CEGO;150,00
PLXX012;FLANGE;"1-1/2""";150#;AISI 316;SOBREPOSTO (SORF);150,00
PLXX013;FLANGE;"1-1/2""";150#;AISI 316;ROSCADO;150,00
PLXX014;FLANGE;"1-1/2""";150#;AISI 316;SOLTO;150,00
PLXX015;FLANGE;"2""";150#;AISI 304;CEGO;150,00
PLXX016;FLANGE;"2""";150#;AISI 304;SOBREPOSTO (SORF);150,00
PLXX017;FLANGE;"2""";150#;AISI 304;ROSCADO;150,00
PLXX018;FLANGE;"2""";150#;AISI 304;SOLTO;150,00
PLXX019;FLANGE;"2""";150#;AISI 316;CEGO;150,00
PLXX020;FLANGE;"2""";150#;AISI 316;SOBREPOSTO (SORF);150,00
PLXX021;FLANGE;"2""";150#;AISI 316;ROSCADO;150,00
PLXX022;FLANGE;"2""";150#;AISI 316;SOLTO;150,00
PLXX023;FLANGE;"2-1/2""";150#;AISI 304;CEGO;150,00
PLXX024;FLANGE;"2-1/2""";150#;AISI 304;SOBREPOSTO (SORF);150,00
PLXX025;FLANGE;"2-1/2""";150#;AISI 304;ROSCADO;150,00
PLXX026;FLANGE;"2-1/2""";150#;AISI 304;SOLTO;150,00
PLXX027;FLANGE;"2-1/2""";150#;AISI 316;CEGO;150,00
PLXX028;FLANGE;"2-1/2""";150#;AISI 316;SOBREPOSTO (SORF);150,00
PLXX029;FLANGE;"2-1/2""";150#;AISI 316;ROSCADO;150,00
PLXX030;FLANGE;"2-1/2""";150#;AISI 316;SOLTO;150,00
PLXX031;FLANGE;"3""";150#;AISI 304;CEGO;150,00
PLXX032;FLANGE;"3""";150#;AISI 304;SOBREPOSTO (SORF);150,00
PLXX033;FLANGE;"3""";150#;AISI 304;ROSCADO;150,00
PLXX034;FLANGE;"3""";150#;AISI 304;SOLTO;150,00
PLXX035;FLANGE;"3""";150#;AISI 316;CEGO;150,00
PLXX036;FLANGE;"3""";150#;AISI 316;SOBREPOSTO (SORF);150,00
PLXX037;FLANGE;"3""";150#;AISI 316;ROSCADO;150,00
PLXX038;FLANGE;"3""";150#;AISI 316;SOLTO;150,00
PLXX039;FLANGE;"4""";150#;AISI 304;CEGO;150,00
PLXX040;FLANGE;"4""";150#;AISI 304;SOBREPOSTO (SORF);150,00
PLXX041;FLANGE;"4""";150#;AISI 304;ROSCADO;150,00
PLXX042;FLANGE;"4""";150#;AISI 304;SOLTO;150,00
PLXX043;FLANGE;"4""";150#;AISI 316;CEGO;150,00
PLXX044;FLANGE;"4""";150#;AISI 316;SOBREPOSTO (SORF);150,00
PLXX045;FLANGE;"4""";150#;AISI 316;ROSCADO;150,00
PLXX046;FLANGE;"4""";150#;AISI 316;SOLTO;150,00
PLXX047;CAP;"1""";10;AISI 304;BW;50,00
PLXX048;CAP;"1""";40;AISI 304;BW;50,00
PLXX049;CAP;"1""";10;AISI 316;BW;50,00
PLXX050;CAP;"1""";40;AISI 316;BW;50,00
PLXX051;CAP;"2""";10;AISI 304;BW;50,00
PLXX052;CAP;"2""";40;AISI 304;BW;50,00
PLXX053;CAP;"2""";10;AISI 316;BW;50,00
PLXX054;CAP;"2""";40;AISI 316;BW;50,00
PLXX055;CAP;"2-1/2""";10;AISI 304;BW;50,00
PLXX056;CAP;"2-1/2""";40;AISI 304;BW;50,00
PLXX057;CAP;"2-1/2""";10;AISI 316;BW;50,00
PLXX058;CAP;"2-1/2""";40;AISI 316;BW;50,00
PLXX059;CAP;"3""";10;AISI 304;BW;50,00
PLXX060;CAP;"3""";40;AISI 304;BW;50,00
PLXX061;CAP;"3""";10;AISI 316;BW;50,00
PLXX062;CAP;"3""";40;AISI 316;BW;50,00
PLXX063;CAP;"4""";10;AISI 304;BW;50,00
PLXX064;CAP;"4""";40;AISI 304;BW;50,00
PLXX065;CAP;"4""";10;AISI 316;BW;50,00
PLXX066;CAP;"4""";40;AISI 316;BW;50,00
PLXX067;MEIA LUVA;"1/8""";3000 lbs;AISI 304;NPT;20,00
PLXX068;MEIA LUVA;"1/8""";3000 lbs;AISI 316;NPT;20,00
PLXX069;MEIA LUVA;"1/4""";3000 lbs;AISI 304;NPT;20,00
PLXX070;MEIA LUVA;"1/4""";3000 lbs;AISI 316;NPT;20,00
PLXX071;MEIA LUVA;"3/8""";3000 lbs;AISI 304;NPT;20,00
PLXX072;MEIA LUVA;"3/8""";3000 lbs;AISI 316;NPT;20,00
PLXX073;MEIA LUVA;"1/2""";3000 lbs;AISI 304;NPT;20,00
PLXX074;MEIA LUVA;"1/2""";3000 lbs;AISI 316;NPT;20,00
PLXX075;MEIA LUVA;"3/4""";3000 lbs;AISI 304;NPT;20,00
PLXX076;MEIA LUVA;"3/4""";3000 lbs;AISI 316;NPT;20,00
PLXX077;MEIA LUVA;"1""";3000 lbs;AISI 304;NPT;20,00
PLXX078;MEIA LUVA;"1""";3000 lbs;AISI 316;NPT;20,00
